,identity-cdr_concat,similarity_B62-cdr_concat,identity-H_CDR1,identity-H_CDR2,identity-H_CDR3,similarity_B62-H_CDR1,similarity_B62-H_CDR2,similarity_B62-H_CDR3,hydropathy-H_CDR1,hydropathy-H_CDR2,hydropathy-H_CDR3,hydropathy_wt-H_CDR1,hydropathy_wt-H_CDR2,hydropathy_wt-H_CDR3,identity-L_CDR1,identity-L_CDR2,identity-L_CDR3,similarity_B62-L_CDR1,similarity_B62-L_CDR2,similarity_B62-L_CDR3,hydropathy-L_CDR1,hydropathy-L_CDR2,hydropathy-L_CDR3,hydropathy_wt-L_CDR1,hydropathy_wt-L_CDR2,hydropathy_wt-L_CDR3,task_id,pdb_name
0,0.6928,0.7231060606060606,0.9314285714285714,0.616,0.6266666666666666,0.9461111111111111,0.6890322580645162,0.6972463768115942,1.1178571428571429,-0.8652,-1.306,1.1285714285714286,-0.14,-1.225,0.689,0.7042857142857143,0.6333333333333333,0.7326530612244898,0.6874193548387096,0.6283333333333334,-0.6246,-0.8738571428571429,-1.866111111111111,-0.05,-0.14285714285714285,-1.5444444444444445,lm_design_api-fab-cdronly,7quh_A-HL
1,0.6645098039215687,0.6217100371747212,0.8571428571428571,0.5566666666666666,0.36636363636363634,0.8571428571428571,0.5353125,0.2650793650793651,-0.2878571428571429,-1.2621666666666667,-0.17172727272727276,-0.8285714285714286,-0.7666666666666666,-0.5727272727272729,0.740909090909091,0.7185714285714286,0.8155555555555556,0.6063636363636363,0.7512903225806451,0.886304347826087,-0.4634545454545455,-0.525,-0.4593333333333333,0.018181818181818136,-0.17142857142857149,-0.15555555555555556,lm_design_api-fab-cdronly,7st5_A-HL
2,0.6933333333333332,0.6819101123595506,0.4928571428571428,0.9433333333333332,0.5081818181818182,0.5587179487179488,0.9582758620689655,0.43,-0.24371428571428574,-0.7103333333333333,-0.6640909090909091,-1.2857142857142858,-0.65,-0.6818181818181818,0.7372727272727273,0.6985714285714286,0.8511111111111112,0.7573584905660377,0.72125,0.8608510638297873,-0.2130909090909091,-1.245,-1.0408888888888888,-0.24545454545454543,-0.5142857142857143,-0.9777777777777775,lm_design_api-fab-cdronly,7t86_G-DC
3,0.48041666666666666,0.4182330827067669,0.7585714285714286,0.28,0.31571428571428567,0.7938095238095237,0.09097560975609756,0.3343478260869565,-0.39714285714285713,-0.9915,-1.4275714285714287,-0.5428571428571428,-2.0500000000000003,-0.8714285714285716,0.5527272727272727,0.5128571428571429,0.419,0.4405555555555556,0.4903333333333333,0.3830188679245283,-0.7995454545454546,-1.1137142857142859,-1.0549,-0.5,0.22857142857142848,-0.8699999999999999,lm_design_api-fab-cdronly,7tn9_T-GH
4,0.6685454545454546,0.6488888888888888,0.7514285714285713,0.6559999999999999,0.516,0.76,0.6762962962962963,0.4619047619047619,0.35971428571428565,-0.5068,-0.7310000000000001,0.22857142857142862,-0.64,-0.22000000000000003,0.6788235294117648,0.8185714285714286,0.6444444444444444,0.6537349397590362,0.8463157894736842,0.62625,-0.6560000000000001,-1.2844285714285715,-1.7678888888888888,-0.8705882352941177,-1.342857142857143,-1.0777777777777777,lm_design_api-fab-cdronly,7tn9_U-AB
5,0.6190163934426229,0.6380116959064328,0.7142857142857143,0.5683333333333332,0.5558823529411765,0.7111111111111111,0.5725,0.4963,-0.41285714285714287,-1.1011666666666668,-0.5172941176470588,0.5428571428571428,-1.333333333333333,0.32352941176470584,0.72,0.66,0.5661538461538461,0.7839344262295082,0.6304761904761904,0.7018666666666666,-0.14609090909090908,-2.5311428571428576,-0.4653076923076923,-0.29090909090909095,-2.9428571428571435,-0.3153846153846155,lm_design_api-fab-cdronly,7trh_G-HB
6,0.7469230769230769,0.7567491166077738,0.97,0.74,0.39714285714285713,0.9733333333333333,0.7891428571428571,0.3625,-0.6314285714285716,-1.3120000000000003,-1.2397142857142858,-0.7285714285714286,-1.6833333333333333,-0.37142857142857155,0.885625,0.6214285714285714,0.7011111111111111,0.9002380952380952,0.5554545454545454,0.7593877551020408,-0.9509374999999999,-0.017428571428571474,-1.3911111111111112,-0.9499999999999998,-0.9857142857142855,-0.9333333333333332,lm_design_api-fab-cdronly,7txw_A-HL
7,0.6969811320754716,0.6943214285714286,0.692857142857143,0.795,0.515,0.7282051282051282,0.7765625,0.5715217391304348,-0.4928571428571428,-1.2361666666666666,-0.841875,-0.7428571428571429,-1.366666666666667,-0.42499999999999993,0.80625,0.6214285714285714,0.6611111111111111,0.8075903614457832,0.54,0.6408695652173912,-1.181625,0.034571428571428565,-0.9774444444444444,-0.8312499999999998,-0.9285714285714286,-0.36666666666666664,lm_design_api-fab-cdronly,7ucx_B-HL
8,0.6839655172413793,0.6858957654723128,0.9042857142857144,0.48166666666666663,0.4658333333333334,0.9307500000000001,0.5336363636363637,0.428,-0.546,-1.3405,-0.04258333333333339,-0.3428571428571429,-1.65,-0.008333333333333451,0.76,0.7028571428571427,0.78,0.7252941176470589,0.7352631578947368,0.7933333333333333,-1.2727058823529414,-0.7502857142857144,-0.9555555555555556,-1.011764705882353,-1.342857142857143,-1.0444444444444445,lm_design_api-fab-cdronly,7ufn_E-AD
9,0.6629310344827586,0.6817721518987342,0.9242857142857143,0.6816666666666665,0.5066666666666666,0.945,0.7228571428571429,0.5491304347826087,-0.1925714285714286,-1.046,-0.18158333333333332,-0.028571428571428564,-1.4833333333333332,-0.24166666666666667,0.5941176470588235,0.7657142857142857,0.7055555555555556,0.5922352941176471,0.7323684210526317,0.7484313725490196,-1.492235294117647,-0.41200000000000003,-0.7977777777777778,-1.011764705882353,-1.342857142857143,-1.0444444444444445,lm_design_api-fab-cdronly,7ufo_A-HL
